sample_id,x1,x2,label
class_1_091,1.859454,1.576617,class_1
class_1_143,2.811981,3.03079,class_1
class_1_055,1.045664,1.744086,class_1
class_0_172,-1.136084,1.247961,class_0
class_1_102,2.289432,2.49984,class_1
class_0_139,1.09698,-1.242893,class_0
class_1_097,4.065275,0.745695,class_1
class_1_036,3.403305,1.973336,class_1
class_1_181,3.651457,4.941974,class_1
class_0_152,-0.425842,-0.05559,class_0
class_1_005,1.738788,1.485479,class_1
class_1_000,3.05913,2.393788,class_1
class_0_064,0.494626,-0.66797,class_0
class_1_092,4.969375,0.337461,class_1
class_1_105,4.592235,0.026141,class_1
class_1_033,2.51471,2.324352,class_1
class_0_133,1.367136,0.444121,class_0
class_0_163,0.582538,1.199579,class_0
class_1_044,4.390059,3.393357,class_1
class_0_113,1.530009,0.26359,class_0
class_1_025,2.841993,4.126714,class_1
class_1_047,2.042882,4.810529,class_1
class_1_133,0.729141,3.9445,class_1
class_0_013,-0.283413,0.724993,class_0
class_1_158,3.572062,3.370685,class_1
class_1_041,5.094798,4.696857,class_1
class_0_022,-0.571467,-0.114293,class_0
class_0_102,-1.220391,-1.592916,class_0
class_1_008,4.027712,0.869771,class_1
class_1_085,2.685875,2.267862,class_1
class_0_009,0.612056,-1.174581,class_0
class_1_183,2.656878,3.303905,class_1
class_0_060,1.746407,0.747706,class_0
class_0_197,-1.216465,0.240622,class_0
class_0_116,-0.194743,-0.168371,class_0
class_1_049,4.447994,1.458379,class_1
class_0_050,1.493623,0.125769,class_0
class_1_086,3.274412,0.397604,class_1
class_0_131,2.018829,1.294137,class_0
class_1_173,0.129507,3.792257,class_1
class_1_032,2.829203,2.237708,class_1
class_1_029,4.42986,1.858977,class_1
class_0_182,-0.708395,-0.614283,class_0
class_0_106,-0.202939,-0.792867,class_0
class_0_021,1.171457,1.196012,class_0
class_1_007,1.832387,0.610155,class_1
class_0_177,1.845711,1.679764,class_0
class_0_107,1.132893,1.066776,class_0
class_0_059,0.535631,-0.123321,class_0
class_1_069,1.601032,2.482037,class_1
class_1_064,1.382158,2.17644,class_1
class_1_154,3.40458,1.174143,class_1
class_0_063,0.529031,0.640513,class_0
class_1_080,2.084794,3.223388,class_1
class_1_031,3.466367,3.810083,class_1
class_0_193,-0.047256,-0.382692,class_0
class_0_007,-0.340148,-0.423163,class_0
class_1_099,2.595123,3.421734,class_1
class_1_024,2.818561,3.403374,class_1
class_1_137,3.50133,2.158575,class_1
class_0_117,0.28842,0.304479,class_0
class_0_031,-0.870331,-0.169748,class_0
class_0_080,-0.577667,-1.054211,class_0
class_0_109,-1.337925,-0.282223,class_0
class_0_087,0.55374,1.110776,class_0
class_1_028,1.944559,2.256937,class_1
class_1_109,3.373648,1.422928,class_1
class_0_183,-2.666053,0.115005,class_0
class_1_013,2.379995,0.736764,class_1
class_1_186,2.309569,3.299713,class_1
class_1_082,2.868616,2.739795,class_1
class_0_153,-1.410973,-0.77764,class_0
class_1_014,1.858632,1.327418,class_1
class_1_108,0.953846,3.230485,class_1
class_0_043,1.903577,0.682576,class_0
class_1_035,2.645572,0.998711,class_1
class_1_179,3.045595,0.232861,class_1
class_0_119,0.329989,1.025035,class_0
class_0_029,-2.816049,-0.564314,class_0
class_0_061,-0.564199,-0.924903,class_0
class_1_089,2.439632,1.066088,class_1
class_0_018,0.314011,-0.531605,class_0
class_0_052,-0.06454,-0.5525,class_0
class_0_192,3.048873,-0.51794,class_0
class_1_106,1.248605,3.098042,class_1
class_1_037,0.627395,3.299155,class_1
class_1_026,3.055708,1.962028,class_1
class_1_012,2.334701,2.140744,class_1
class_1_138,2.907967,3.519747,class_1
class_0_127,-1.398575,-1.070606,class_0
class_0_123,2.193083,1.365753,class_0
class_0_016,-1.092043,0.980458,class_0
class_1_119,2.749093,2.88834,class_1
class_0_129,0.485313,-0.225404,class_0
class_1_159,4.76961,2.872351,class_1
class_0_098,-0.097019,-0.173891,class_0
class_1_170,2.990163,3.953133,class_1
class_0_125,1.220568,-0.508322,class_0
class_1_051,1.87336,3.24061,class_1
class_1_060,3.626036,2.982403,class_1
class_0_086,-0.682014,-0.3684,class_0
class_1_004,4.553368,1.719701,class_1
class_0_075,1.162599,1.313065,class_0
class_1_078,3.728754,0.347655,class_1
class_0_039,-0.732059,0.454526,class_0
class_0_115,1.628567,1.642566,class_0
class_0_033,-0.8568,-1.178021,class_0
class_0_105,-1.328725,0.271671,class_0
class_0_069,0.099888,0.16075,class_0
class_1_068,2.559953,2.149802,class_1
class_0_085,1.103171,1.863691,class_0
class_1_104,1.893766,1.468507,class_1
class_1_150,5.134087,0.803338,class_1
class_1_139,3.571371,2.047555,class_1
class_0_165,1.328476,1.196519,class_0
class_1_132,4.732717,1.515113,class_1
class_0_076,0.965085,-1.016672,class_0
class_1_172,2.949037,1.120848,class_1
class_1_180,3.654568,2.39908,class_1
class_1_111,2.663698,4.544729,class_1
class_1_115,3.154838,1.77105,class_1
class_1_093,5.289854,2.692327,class_1
class_0_042,-0.030228,-0.083675,class_0
class_1_020,2.867931,3.288398,class_1
class_0_195,-2.889041,-1.227207,class_0
class_1_096,3.38325,-0.447738,class_1
class_1_168,3.633353,1.714415,class_1
class_1_034,1.649434,4.155002,class_1
class_1_155,0.61424,1.758402,class_1
class_0_194,-1.294005,-0.163233,class_0
class_0_040,2.928594,1.183944,class_0
class_1_070,3.247596,0.241105,class_1
class_1_122,0.821605,3.025604,class_1
class_0_168,1.172118,1.202791,class_0
class_0_025,1.083073,-0.034514,class_0
class_1_114,3.685102,1.532329,class_1
class_0_023,-3.668205,-0.047168,class_0
class_0_028,0.768257,0.659365,class_0
class_0_101,-1.487319,-0.966405,class_0
class_0_005,-0.714764,1.836749,class_0
class_1_163,2.622354,2.515876,class_1
class_1_190,2.623965,3.475713,class_1
class_0_048,0.318386,1.581447,class_0
class_0_150,1.071834,0.441218,class_0
class_1_090,1.511002,3.823373,class_1
class_0_187,1.77029,1.572117,class_0
class_1_019,5.300307,1.236786,class_1
class_1_083,3.611913,2.866188,class_1
class_0_082,-0.588518,0.589045,class_0
class_1_016,1.494552,4.286951,class_1
class_1_075,3.06463,-0.024089,class_1
class_0_008,0.825392,0.098528,class_0
class_0_056,0.200338,-1.361603,class_0
class_1_197,3.724485,4.516184,class_1
class_1_112,3.894445,1.66079,class_1
class_0_126,0.110901,-0.08614,class_0
class_0_166,1.073999,-1.093342,class_0
class_1_160,4.923718,-0.471776,class_1
class_1_153,2.809707,3.650746,class_1
class_0_188,1.150399,-1.401667,class_0
class_0_096,-0.786815,0.301335,class_0
class_0_036,-1.984716,-1.335988,class_0
class_1_199,5.726747,0.777687,class_1
class_0_104,0.763515,-0.94844,class_0
class_0_026,-0.339081,0.071681,class_0
class_0_158,-0.023292,-0.565267,class_0
class_0_132,-0.095212,-1.671394,class_0
class_0_072,-0.118871,-1.006919,class_0
class_1_039,2.460764,3.549113,class_1
class_1_157,3.367416,1.819598,class_1
class_0_170,0.31281,1.245131,class_0
class_1_074,3.205333,1.192903,class_1
class_0_071,0.446998,1.899175,class_0
class_0_070,-0.393713,0.853613,class_0
class_1_129,3.394331,1.942377,class_1
class_0_093,0.329279,-0.345324,class_0
class_0_027,-0.924949,-0.162733,class_0
class_0_074,-2.054383,-1.731649,class_0
class_0_081,0.659224,1.203853,class_0
class_1_002,1.515145,2.267193,class_1
class_0_010,-0.616993,-0.951973,class_0
class_0_044,-1.464617,-1.972013,class_0
class_1_058,4.450641,2.516039,class_1
class_1_161,4.301157,2.907048,class_1
class_0_012,-2.899398,-1.750558,class_0
class_1_146,3.675774,1.87353,class_1
class_1_045,2.871703,3.645858,class_1
class_0_181,1.03992,0.506414,class_0
class_1_038,3.135814,5.146298,class_1
